Date,Open,High,Low,Close,Adj Close,Volume
2023-01-03,243.08 ,245.75 ,237.40 ,239.58 ,236.6092377,25740000
2023-01-04,232.28 ,232.87 ,225.96 ,229.10 ,226.2591858,50623400
2023-01-05,227.20 ,227.55 ,221.76 ,222.31 ,219.55336,39585600
2023-01-06,223.00 ,225.76 ,219.35 ,224.93 ,222.1408691,43613600
2023-01-09,226.45 ,231.24 ,226.41 ,227.12 ,224.3037109,27369800
2023-01-10,227.76 ,231.31 ,227.33 ,228.85 ,226.0122681,27033900
2023-01-11,231.29 ,235.95 ,231.11 ,235.77 ,232.8464661,28669300
2023-01-12,235.26 ,239.90 ,233.56 ,238.51 ,235.552475,27269500
2023-01-13,237.00 ,239.37 ,234.92 ,239.23 ,236.2635651,21333300
2023-01-17,237.97 ,240.91 ,237.09 ,240.35 ,237.3696899,29831300
2023-01-18,241.57 ,242.38 ,235.52 ,235.81 ,232.8859558,30028700
2023-01-19,233.78 ,235.52 ,230.68 ,231.93 ,229.0540771,28623000
2023-01-20,234.86 ,240.74 ,234.51 ,240.22 ,237.2412872,35389800
2023-01-23,241.10 ,245.17 ,239.65 ,242.58 ,239.5720215,31934000
2023-01-24,242.50 ,243.95 ,240.44 ,242.04 ,239.0387115,40234400
2023-01-25,234.48 ,243.30 ,230.90 ,240.61 ,237.6264496,66526600
2023-01-26,243.65 ,248.31 ,242.00 ,248.00 ,244.9248199,33454500
2023-01-27,248.99 ,249.83 ,246.83 ,248.16 ,245.08284,26498900
2023-01-30,244.51 ,245.60 ,242.20 ,242.71 ,239.7004242,25867400
2023-01-31,243.45 ,247.95 ,242.95 ,247.81 ,244.7371674,26541100
2023-02-01,248.00 ,255.18 ,245.47 ,252.75 ,249.615921,31259900
2023-02-02,258.82 ,264.69 ,257.25 ,264.60 ,261.3189697,39940400
2023-02-03,259.54 ,264.20 ,257.10 ,258.35 ,255.1464691,29077300
2023-02-06,257.44 ,258.30 ,254.78 ,256.77 ,253.5860596,22518000
2023-02-07,260.53 ,268.77 ,260.08 ,267.56 ,264.2422791,50841400
2023-02-08,273.20 ,276.76 ,266.21 ,266.73 ,263.4225769,54686000
2023-02-09,273.80 ,273.98 ,262.80 ,263.62 ,260.3510742,42375100
2023-02-10,261.53 ,264.09 ,260.66 ,263.10 ,259.8375549,25818500
2023-02-13,267.64 ,274.60 ,267.15 ,271.32 ,267.9556885,44630900
2023-02-14,272.67 ,274.97 ,269.28 ,272.17 ,268.7951355,37047900
2023-02-15,268.32 ,270.73 ,266.18 ,269.32 ,266.6466675,28922400
2023-02-16,264.02 ,266.74 ,261.90 ,262.15 ,259.547821,29603600
2023-02-17,259.39 ,260.09 ,256.00 ,258.06 ,255.4984131,30000100
2023-02-21,254.48 ,255.49 ,251.59 ,252.67 ,250.1619263,28397400
2023-02-22,254.09 ,254.34 ,250.34 ,251.51 ,249.0134277,22491100
